simulation_id,workflow,domain,y_min,y_max,chains,draws_per_chain,posterior_draws_total,n_obs,pvs_theta,pvs_pred,pvs_joint,trace_member
12,area,nominal,0.0,1.0,4,3000,12000,288,0.5385,0.7527546296296296,0.40584403935185187,trace_pvs_sdescriptor_mismatch_nominal_sim12.nc
13,area,broad,-0.05,1.05,4,3000,12000,288,0.9915,0.9910399305555555,0.9826085069444445,trace_pvs_sdescriptor_mismatch_nominal_sim13.nc
13,area,narrow,0.02,0.98,4,3000,12000,288,0.8486666666666667,0.8560335648148149,0.7271177662037037,trace_pvs_sdescriptor_mismatch_nominal_sim13.nc
13,area,nominal,0.0,1.0,4,3000,12000,288,0.9470833333333334,0.9282650462962962,0.8792641782407408,trace_pvs_sdescriptor_mismatch_nominal_sim13.nc
14,area,broad,-0.05,1.05,4,3000,12000,288,0.9876666666666667,0.9708579282407407,0.9589059606481481,trace_pvs_sdescriptor_mismatch_nominal_sim14.nc
14,area,narrow,0.02,0.98,4,3000,12000,288,0.5459166666666667,0.7820026041666667,0.42897251157407407,trace_pvs_sdescriptor_mismatch_nominal_sim14.nc
14,area,nominal,0.0,1.0,4,3000,12000,288,0.8845833333333334,0.8720717592592593,0.7718156828703704,trace_pvs_sdescriptor_mismatch_nominal_sim14.nc
15,area,broad,-0.05,1.05,4,3000,12000,288,0.9816666666666667,0.9763993055555555,0.9585109953703703,trace_pvs_sdescriptor_mismatch_nominal_sim15.nc
15,area,narrow,0.02,0.98,4,3000,12000,288,0.6314166666666666,0.8082300347222222,0.5114192708333334,trace_pvs_sdescriptor_mismatch_nominal_sim15.nc
15,area,nominal,0.0,1.0,4,3000,12000,288,0.8636666666666667,0.8811571180555555,0.7614120370370371,trace_pvs_sdescriptor_mismatch_nominal_sim15.nc
16,area,broad,-0.05,1.05,4,3000,12000,288,0.9494166666666667,0.9579036458333333,0.9095245949074074,trace_pvs_sdescriptor_mismatch_nominal_sim16.nc
16,area,narrow,0.02,0.98,4,3000,12000,288,0.361,0.7345674189814815,0.2659542824074074,trace_pvs_sdescriptor_mismatch_nominal_sim16.nc
16,area,nominal,0.0,1.0,4,3000,12000,288,0.6568333333333334,0.8227511574074075,0.5409800347222222,trace_pvs_sdescriptor_mismatch_nominal_sim16.nc
17,area,broad,-0.05,1.05,4,3000,12000,288,0.9496666666666667,0.9826741898148148,0.9332256944444445,trace_pvs_sdescriptor_mismatch_nominal_sim17.nc
