simulation_id,scenario_id,model_name,descriptor_used,n_obs,n_labs,n_batches,n_exposure_levels,n_replicates,rmse,mae,r2_or_pseudo_r2,aic,bic,coverage_50,coverage_80,coverage_90,coverage_95,rhat_max,ess_bulk_min,ess_tail_min,n_divergences,bfmi_min,ppc_coverage,lab_variance_recovery,batch_variance_recovery,transition_region_error,extrapolation_error,pvs_theta,pvs_pred,pvs_descriptor,pvs_joint,prior_sensitivity_delta_pvs,admissibility_sensitivity_delta_pvs,runtime_seconds,residual_normality_p,residual_heteroscedasticity_p,residual_tail_flag,diagnostic_flag
0,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.1597377213883523,0.13902622927383698,0.8036041742189383,-225.2033057301236,-199.56258236917196,,,,,,,,,,,,,0.08951909892502129,,,,,,,,0.09613023299607448,0.0003521530518501119,0.007418290429761396,0.0,heteroscedastic_residuals
0,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.16003517449497295,0.13924801642029372,0.8028720623596706,,,0.3958333333333333,0.7847222222222222,0.9513888888888888,0.9965277777777778,1.0,2505.0,3170.0,1.0,0.7027193956939397,0.9965277777777778,3.0294537677242586,1.8611528227106242,0.0952223262943595,,,0.7671438078703704,1.0,0.7671438078703704,,,29.89069910699618,0.0003369773683152955,0.004943062779045212,0.0,divergences;heteroscedastic_residuals;low_joint_pvs
0,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04838454117498341,0.03543245972803607,0.9819810061533765,,,0.5277777777777778,0.8055555555555556,0.9236111111111112,0.9513888888888888,1.0,3037.0,2629.0,0.0,0.7975469822148059,0.9513888888888888,2.5636348740284114,1.4661253942414065,0.008498414589925306,,0.78025,0.8989134837962963,1.0,0.7018382523148148,,,92.7449785869976,3.154643866613144e-13,0.06608575691712804,1.0,low_joint_pvs
1,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.15362519118110113,0.13338878767115803,0.8175557822084687,-247.67733765335458,-222.03661429240296,,,,,,,,,,,,,0.08800861147029795,,,,,,,,0.006556699008797295,0.0012876980424661904,0.010183614769226725,0.0,heteroscedastic_residuals
1,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.1540833121190012,0.13309208217979862,0.8164660372460113,,,0.4097222222222222,0.8055555555555556,0.9444444444444444,0.9930555555555556,1.0,3042.0,3181.0,2.0,0.6952878855284639,0.9930555555555556,3.754561660642942,1.6039857893906617,0.09209230463271988,,,0.7653940972222222,1.0,0.7653940972222222,,,28.395148796000285,0.0020182167724206376,0.006870238493306397,0.0,divergences;heteroscedastic_residuals;low_joint_pvs
1,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04937780996325825,0.03740315930497625,0.9811518435102179,,,0.5208333333333334,0.7916666666666666,0.9131944444444444,0.9548611111111112,1.0,3351.0,3876.0,0.0,0.8052212843348671,0.9548611111111112,2.6270753083464458,1.8176682206824348,0.007443069893380379,,0.7225833333333334,0.8555584490740741,1.0,0.6188127893518518,,,89.28452387699508,0.06001902620577009,0.01647121636703092,0.0,heteroscedastic_residuals;low_joint_pvs
2,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.15379689810933672,0.13296131685784146,0.820307326129033,-247.0339017754917,-221.39317841454007,,,,,,,,,,,,,0.07436573487951327,,,,,,,,0.006294727994827554,0.00020413726487800187,0.000566356869795222,0.0,heteroscedastic_residuals
2,descriptor_mismatch_nominal,Bayes_hierarchical_mass_MCMC,mass,288,3,4,8,3,0.15402372243130527,0.1331793933845001,0.8197769028828632,,,0.4131944444444444,0.78125,0.9409722222222222,1.0,1.0,2865.0,2936.0,7.0,0.7732689680403932,1.0,1.1566403774978213,1.3290051852101663,0.07640393928107501,,,0.7695497685185185,1.0,0.7695497685185185,,,20.626432121993275,0.000240881152928194,0.0003091015465295996,0.0,divergences;heteroscedastic_residuals;low_joint_pvs
2,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.046281412465067256,0.03411059072397658,0.9837277192790974,,,0.5277777777777778,0.8194444444444444,0.8993055555555556,0.9583333333333334,1.0,2366.0,3621.0,0.0,0.7399172230015261,0.9583333333333334,2.3784831169290954,0.702561668797209,0.00465479408483927,,0.82525,0.9099606481481481,1.0,0.7512815393518518,,,93.51611548599612,4.287852845269152e-10,0.008612537764529027,1.0,heteroscedastic_residuals;low_joint_pvs
3,descriptor_mismatch_nominal,OLS_ANOVA_mass_fixed_effects,mass,288,3,4,8,3,0.159331412758517,0.13926340952789232,0.7845296084194462,-226.67028496591627,-201.02956160496464,,,,,,,,,,,,,0.0765836363969482,,,,,,,,0.0059959409991279244,7.471080878633697e-05,0.49039895443537485,0.0,ok
