simulation_id,prior_mode,parameter,posterior_median,posterior_q1,posterior_q3,posterior_mean,source,posterior_median_nominal,delta_posterior_median_vs_nominal
0,broad,K_A,0.9599502844143092,0.9506991344886868,0.9695357510178866,0.9603512961584804,new_targeted_fit,0.9596639216459558,0.0002863627683533654
0,broad,h,3.054701482729796,2.982849782581651,3.130420582960871,3.0578193110983745,new_targeted_fit,3.060046838322638,-0.005345355592841994
0,broad,nu,5.486810642298159,4.478184038599977,6.8722147709068135,5.999080472173701,new_targeted_fit,5.461358597605679,0.025452044692479525
0,broad,rho_A,0.1937693110110345,0.1428967854594153,0.2514628692108869,0.2012900528062398,new_targeted_fit,0.1952395809596119,-0.0014702699485774073
0,broad,sigma0,0.0329544466180133,0.0309440694375265,0.0350955324958146,0.0330563919651437,new_targeted_fit,0.032904530768261,4.9915849752300845e-05
0,broad,sigma_batch,0.021290704454661,0.0146674896242494,0.032813757772348,0.0282368609175469,new_targeted_fit,0.0214545875780589,-0.00016388312339789962
0,broad,sigma_lab,0.0472770248796532,0.0308945389208619,0.0786619532888833,0.0637366339647997,new_targeted_fit,0.0471920325319443,8.499234770889541e-05
0,broad,y0,0.0410353830788769,0.0205783843971545,0.0619874365979553,0.0424172473043356,new_targeted_fit,0.0415922140370954,-0.0005568309582184988
0,broad,ymax,0.9089161799029194,0.9009596623002512,0.9171996040212324,0.909140806720511,new_targeted_fit,0.9084907925963056,0.0004253873066137892
0,mildly_misspecified,K_A,0.9609496395772282,0.9511091112173986,0.9705475914450642,0.9610952606522574,new_targeted_fit,0.9596639216459558,0.001285717931272412
0,mildly_misspecified,h,3.044969131785656,2.9702796559723934,3.120980587647023,3.04684868214119,new_targeted_fit,3.060046838322638,-0.015077706536981594
0,mildly_misspecified,nu,5.50259971179478,4.509030593781164,6.931447947412966,6.023926242953087,new_targeted_fit,5.461358597605679,0.04124111418910026
0,mildly_misspecified,rho_A,0.1981260463992588,0.1465330003127545,0.2530315861311334,0.2037605850284478,new_targeted_fit,0.1952395809596119,0.002886465439646879
0,mildly_misspecified,sigma0,0.0328871802795005,0.0309261514945106,0.0349866733851479,0.0330013875257874,new_targeted_fit,0.032904530768261,-1.7350488760496663e-05
0,mildly_misspecified,sigma_batch,0.0212117574950932,0.014897111410768,0.0329396906562548,0.0284547148118215,new_targeted_fit,0.0214545875780589,-0.00024283008296569972
0,mildly_misspecified,sigma_lab,0.0479507684904307,0.0310631544071034,0.0790677515652451,0.0637269840462035,new_targeted_fit,0.0471920325319443,0.0007587359584863979
0,mildly_misspecified,y0,0.0412624386956762,0.0203354995168205,0.063250309954185,0.042788850769545,new_targeted_fit,0.0415922140370954,-0.0003297753414191959
0,mildly_misspecified,ymax,0.90963658117637,0.9015736635791808,0.9180425702201392,0.9099725153554346,new_targeted_fit,0.9084907925963056,0.0011457885800644219
0,narrow,K_A,0.9581550561503048,0.94877147986204,0.9674862093760211,0.9582675062532028,new_targeted_fit,0.9596639216459558,-0.0015088654956509906
0,narrow,h,3.067162546876322,2.99277164022989,3.143460316661552,3.069841142472767,new_targeted_fit,3.060046838322638,0.0071157085536843745
0,narrow,nu,5.460128958168527,4.462392848929034,6.897191153494804,5.992305711006456,new_targeted_fit,5.461358597605679,-0.0012296394371524855
0,narrow,rho_A,0.195386349564096,0.1461237293043146,0.2533497836956954,0.2037166559849295,new_targeted_fit,0.1952395809596119,0.00014676860448409323
0,narrow,sigma0,0.0328516563248062,0.0308575941278706,0.0349102459498877,0.0329319727918442,new_targeted_fit,0.032904530768261,-5.2874443454795084e-05
0,narrow,sigma_batch,0.0217189252325456,0.0149309871971684,0.033825995661716,0.0294214195641616,new_targeted_fit,0.0214545875780589,0.00026433765448670085
0,narrow,sigma_lab,0.0480410990189886,0.0312160166597505,0.0804307220506676,0.0651312106099906,new_targeted_fit,0.0471920325319443,0.0008490664870442963
0,narrow,y0,0.0414875780449832,0.0201046479272479,0.0633848099680155,0.0423106296660532,new_targeted_fit,0.0415922140370954,-0.00010463599211219671
0,narrow,ymax,0.9071450829015836,0.8990492624016604,0.9152870486826548,0.9072728786548528,new_targeted_fit,0.9084907925963056,-0.0013457096947220304
0,nominal,K_A,0.9596639216459558,0.9500636069538466,0.9691159061079232,0.9598089002349816,archived_nominal,0.9596639216459558,0.0
0,nominal,h,3.060046838322638,2.9859332844150157,3.1354044572648982,3.062167532738527,archived_nominal,3.060046838322638,0.0
0,nominal,nu,5.461358597605679,4.451644155922027,6.879644841164959,5.99581796530567,archived_nominal,5.461358597605679,0.0
0,nominal,rho_A,0.1952395809596119,0.1447990553794461,0.251847181577811,0.2025505531870187,archived_nominal,0.1952395809596119,0.0
0,nominal,sigma0,0.032904530768261,0.0308920031332796,0.0349019218032673,0.0329374835896838,archived_nominal,0.032904530768261,0.0
0,nominal,sigma_batch,0.0214545875780589,0.0149905481390985,0.0336044634435864,0.0293225078848281,archived_nominal,0.0214545875780589,0.0
0,nominal,sigma_lab,0.0471920325319443,0.0307702834337749,0.0791577681361386,0.0640908718507104,archived_nominal,0.0471920325319443,0.0
0,nominal,y0,0.0415922140370954,0.020267803563127,0.0629025965730274,0.0427172449965463,archived_nominal,0.0415922140370954,0.0
0,nominal,ymax,0.9084907925963056,0.9004673583989002,0.9164414379573949,0.9085749423550514,archived_nominal,0.9084907925963056,0.0
7,broad,K_A,0.9381306097816784,0.9289756417504038,0.9476447986853704,0.9383027700034672,new_targeted_fit,0.93771997998511,0.0004106297965683625
7,broad,h,2.7188309870854117,2.6567890844204625,2.782576325808392,2.720882605647525,new_targeted_fit,2.720529258373505,-0.0016982712880930784
7,broad,nu,7.10945956466432,5.684079048812244,9.267124737192692,7.9576776877894035,new_targeted_fit,7.116709057971436,-0.007249493307115884
7,broad,rho_A,0.0688881441741753,0.041451637156862,0.1015114888884485,0.0745287655710048,new_targeted_fit,0.0692534962942103,-0.00036535212003500905
7,broad,sigma0,0.0375468131719321,0.0357075982843327,0.0394745030296121,0.0375931151780833,new_targeted_fit,0.0375605347323406,-1.3721560408498645e-05
7,broad,sigma_batch,0.0333865397166463,0.0237107909188996,0.0499630956565096,0.0423792912903997,new_targeted_fit,0.0329825109807127,0.0004040287359335995
