simulation_id,scenario_id,model_name,descriptor_used,n_obs,n_labs,n_batches,n_exposure_levels,n_replicates,rmse,mae,r2_or_pseudo_r2,aic,bic,coverage_50,coverage_80,coverage_90,coverage_95,rhat_max,ess_bulk_min,ess_tail_min,n_divergences,bfmi_min,ppc_coverage,lab_variance_recovery,batch_variance_recovery,transition_region_error,extrapolation_error,pvs_theta,pvs_pred,pvs_descriptor,pvs_joint,prior_sensitivity_delta_pvs,admissibility_sensitivity_delta_pvs,runtime_seconds,residual_normality_p,residual_heteroscedasticity_p,residual_tail_flag,diagnostic_flag,prior_mode,source,targeted_fit_seed,wallclock_seconds_stage8,rmse_nominal,mae_nominal,ppc_coverage_nominal,pvs_theta_nominal,pvs_pred_nominal,pvs_joint_nominal,n_divergences_nominal,rhat_max_nominal,ess_bulk_min_nominal,ess_tail_min_nominal,bfmi_min_nominal,runtime_seconds_nominal,delta_rmse_vs_nominal,delta_mae_vs_nominal,delta_ppc_coverage_vs_nominal,delta_pvs_theta_vs_nominal,delta_pvs_pred_vs_nominal,delta_pvs_joint_vs_nominal,delta_n_divergences_vs_nominal,delta_rhat_max_vs_nominal,delta_ess_bulk_min_vs_nominal,delta_ess_tail_min_vs_nominal,delta_bfmi_min_vs_nominal,delta_runtime_seconds_vs_nominal
0,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0483845411749834,0.035432459728036,0.9819810061533764,,,0.5277777777777778,0.8055555555555556,0.9236111111111112,0.9513888888888888,1.0,3037.0,2629.0,0.0,0.7975469822148059,0.9513888888888888,2.5636348740284114,1.4661253942414063,0.0084984145899253,,0.78025,0.8989134837962963,1.0,0.7018382523148148,,,92.7449785869976,3.154643866613144e-13,0.066085756917128,1.0,low_joint_pvs,nominal,archived_nominal,,,0.0483845411749834,0.035432459728036,0.9513888888888888,0.78025,0.8989134837962963,0.7018382523148148,0.0,1.0,3037.0,2629.0,0.7975469822148059,92.7449785869976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,prior_narrow,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04841355190204916,0.03543281514564367,0.9819593917775865,,,0.5277777777777778,0.7916666666666666,0.9201388888888888,0.9513888888888888,1.0,3129.0,2280.0,0.0,0.781027534079473,0.9513888888888888,2.6052484243996243,1.4710709782080844,0.008217496900808662,,0.774,0.8993078703703704,1.0,0.6963200231481481,,,137.4724149980466,1.8494759953260677e-13,0.062307146734985,1.0,low_joint_pvs,narrow,new_targeted_fit,20272630.0,137.4724359512329,0.0483845411749834,0.035432459728036,0.9513888888888888,0.78025,0.8989134837962963,0.7018382523148148,0.0,1.0,3037.0,2629.0,0.7975469822148059,92.7449785869976,2.9010727065757747e-05,3.5541760767116015e-07,0.0,-0.006249999999999978,0.0003943865740740904,-0.005518229166666666,0.0,0.0,92.0,-349.0,-0.016519448135332904,44.727436411048984
0,prior_broad,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.048338419026111815,0.035380541881944214,0.9820153426827355,,,0.53125,0.8055555555555556,0.9236111111111112,0.9513888888888888,1.0,3313.0,4296.0,0.0,0.7635481712339542,0.9513888888888888,2.54946535859199,1.4118430458773465,0.008527435812370861,,0.7824166666666666,0.8982641782407408,1.0,0.7030691550925926,,,122.22931579698343,2.1963478784192946e-13,0.0687335428556347,1.0,low_joint_pvs,broad,new_targeted_fit,20282630.0,122.22934460639954,0.0483845411749834,0.035432459728036,0.9513888888888888,0.78025,0.8989134837962963,0.7018382523148148,0.0,1.0,3037.0,2629.0,0.7975469822148059,92.7449785869976,-4.6122148871584334e-05,-5.191784609178546e-05,0.0,0.00216666666666665,-0.0006493055555555349,0.0012309027777778203,0.0,0.0,276.0,1667.0,-0.03399881098085167,29.484337209985824
0,prior_mildly_misspecified,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04836451909722262,0.035398703346533014,0.9819959160002092,,,0.5208333333333334,0.8020833333333334,0.9236111111111112,0.9513888888888888,1.0,3340.0,4325.0,0.0,0.8044378286913629,0.9513888888888888,2.5490793618481415,1.4227357405910754,0.00845715530540016,,0.77025,0.8977456597222222,1.0,0.6919849537037037,,,122.43002328998409,3.2090184808360335e-13,0.06488580846519171,1.0,low_joint_pvs,mildly_misspecified,new_targeted_fit,20292630.0,122.43005013465881,0.0483845411749834,0.035432459728036,0.9513888888888888,0.78025,0.8989134837962963,0.7018382523148148,0.0,1.0,3037.0,2629.0,0.7975469822148059,92.7449785869976,-2.0022077760778467e-05,-3.375638150298482e-05,0.0,-0.010000000000000009,-0.0011678240740741197,-0.009853298611111061,0.0,0.0,303.0,1696.0,0.006890846476557022,29.685044702986488
7,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0478876480924724,0.035878831464738,0.9831315945835608,,,0.5069444444444444,0.8368055555555556,0.9131944444444444,0.9652777777777778,1.0,3055.0,3977.0,0.0,0.7814534915342238,0.9652777777777778,1.7859708133683607,2.101890055780378,0.0127721643683408,,0.70375,0.8635784143518519,1.0,0.6083946759259259,,,83.44105283700628,4.774239504305039e-30,0.0937817951038176,1.0,low_joint_pvs,nominal,archived_nominal,,,0.0478876480924724,0.035878831464738,0.9652777777777778,0.70375,0.8635784143518519,0.6083946759259259,0.0,1.0,3055.0,3977.0,0.7814534915342238,83.44105283700628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,prior_narrow,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04790639778189912,0.035864320809194966,0.9831183828560232,,,0.5,0.8333333333333334,0.9166666666666666,0.96875,1.0,3169.0,3611.0,1.0,0.7681071045645759,0.96875,1.7204462100464215,2.1239694944938474,0.013105572159880343,,0.7191666666666666,0.8643804976851852,1.0,0.6220564236111111,,,100.11424291896401,6.376313355134495e-30,0.09211856079709932,1.0,divergences;low_joint_pvs,narrow,new_targeted_fit,20972630.0,100.11427140235901,0.0478876480924724,0.035878831464738,0.9652777777777778,0.70375,0.8635784143518519,0.6083946759259259,0.0,1.0,3055.0,3977.0,0.7814534915342238,83.44105283700628,1.8749689426715566e-05,-1.451065554303188e-05,0.00347222222222221,0.015416666666666634,0.0008020833333333144,0.013661747685185244,1.0,0.0,114.0,-366.0,-0.013346386969647961,16.673190081957728
7,prior_broad,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04785622653533059,0.03586873860024645,0.983153723783689,,,0.5,0.8368055555555556,0.9131944444444444,0.96875,1.0,2782.0,4212.0,0.0,0.7736538928208498,0.96875,1.707308725113189,2.1189645645199877,0.012677366310893263,,0.71425,0.8634956597222222,1.0,0.6174788773148148,,,106.96861489198636,8.97791732483997e-30,0.09073436954355893,1.0,low_joint_pvs,broad,new_targeted_fit,20982630.0,106.96864366531372,0.0478876480924724,0.035878831464738,0.9652777777777778,0.70375,0.8635784143518519,0.6083946759259259,0.0,1.0,3055.0,3977.0,0.7814534915342238,83.44105283700628,-3.142155714181555e-05,-1.0092864491551001e-05,0.00347222222222221,0.010500000000000065,-8.275462962969993e-05,0.00908420138888888,0.0,0.0,-273.0,235.0,-0.00779959871337399,23.52756205498008
7,prior_mildly_misspecified,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04785906299005497,0.03588573809531965,0.9831517267555362,,,0.5034722222222222,0.8333333333333334,0.9131944444444444,0.96875,1.0,3526.0,4002.0,0.0,0.7526283595006253,0.96875,1.6899247500686205,2.0861184923762397,0.012571299869967575,,0.7125833333333333,0.8633252314814814,1.0,0.6159207175925926,,,109.42597672704142,1.7748166998059912e-29,0.09598084185782749,1.0,low_joint_pvs,mildly_misspecified,new_targeted_fit,20992630.0,109.42600417137146,0.0478876480924724,0.035878831464738,0.9652777777777778,0.70375,0.8635784143518519,0.6083946759259259,0.0,1.0,3055.0,3977.0,0.7814534915342238,83.44105283700628,-2.8585102417433284e-05,6.906630581650364e-06,0.00347222222222221,0.00883333333333336,-0.00025318287037046083,0.007526041666666705,0.0,0.0,471.0,25.0,-0.02882513203359849,25.984923890035134
8,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0463146649066111,0.0361876937591486,0.982629142919668,,,0.4861111111111111,0.8368055555555556,0.9027777777777778,0.9548611111111112,1.0,3386.0,3382.0,0.0,0.7982089036689535,0.9548611111111112,2.70093285375423,1.7070936410689688,0.0063278832105391,,0.7406666666666667,0.9162766203703704,1.0,0.6792201967592593,,,95.3105595530069,0.3089906199789897,0.034207843728437,0.0,heteroscedastic_residuals;low_joint_pvs,nominal,archived_nominal,,,0.0463146649066111,0.0361876937591486,0.9548611111111112,0.7406666666666667,0.9162766203703704,0.6792201967592593,0.0,1.0,3386.0,3382.0,0.7982089036689535,95.3105595530069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,prior_narrow,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.046298299745910966,0.036161319152844734,0.9826414166409163,,,0.4826388888888889,0.8402777777777778,0.8993055555555556,0.9548611111111112,1.0,3233.0,3444.0,0.0,0.80338798688166,0.9548611111111112,2.719838904191366,1.7070875351305983,0.005683422648869331,,0.74525,0.9172097800925926,1.0,0.6839348958333333,,,123.92676462396048,0.2910517806752664,0.041407954584051505,0.0,heteroscedastic_residuals;low_joint_pvs,narrow,new_targeted_fit,21072630.0,123.92678904533386,0.0463146649066111,0.0361876937591486,0.9548611111111112,0.7406666666666667,0.9162766203703704,0.6792201967592593,0.0,1.0,3386.0,3382.0,0.7982089036689535,95.3105595530069,-1.636516070013111e-05,-2.63746063038639e-05,0.0,0.004583333333333273,0.0009331597222221877,0.004714699074074069,0.0,0.0,-153.0,62.0,0.005179083212706548,28.616205070953583
8,prior_broad,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.046355698974730734,0.036195969830062916,0.9825983486691802,,,0.4861111111111111,0.8333333333333334,0.8993055555555556,0.9548611111111112,1.0,3152.0,4063.0,0.0,0.7781611492659927,0.9548611111111112,2.6799603086670856,1.7289301604488247,0.006466150609044655,,0.74125,0.9162748842592593,1.0,0.6796811342592592,,,124.57755746797193,0.3031929895382924,0.03587365838999539,0.0,heteroscedastic_residuals;low_joint_pvs,broad,new_targeted_fit,21082630.0,124.5775876045227,0.0463146649066111,0.0361876937591486,0.9548611111111112,0.7406666666666667,0.9162766203703704,0.6792201967592593,0.0,1.0,3386.0,3382.0,0.7982089036689535,95.3105595530069,4.1034068119637224e-05,8.27607091431759e-06,0.0,0.0005833333333332691,-1.7361111110947292e-06,0.00046093749999998046,0.0,0.0,-234.0,681.0,-0.020047754402960805,29.26699791496503
8,prior_mildly_misspecified,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.04634601121977492,0.036209845750539524,0.9826056213593476,,,0.4861111111111111,0.8298611111111112,0.9027777777777778,0.9548611111111112,1.0,3423.0,3123.0,0.0,0.7326371127755372,0.9548611111111112,2.7257150566109667,1.7147064002219845,0.006570822366219475,,0.72325,0.9161487268518519,1.0,0.6630089699074074,,,124.35859968303703,0.3328119210450006,0.037028180232181004,0.0,heteroscedastic_residuals;low_joint_pvs,mildly_misspecified,new_targeted_fit,21092630.0,124.35862684249878,0.0463146649066111,0.0361876937591486,0.9548611111111112,0.7406666666666667,0.9162766203703704,0.6792201967592593,0.0,1.0,3386.0,3382.0,0.7982089036689535,95.3105595530069,3.13463131638228e-05,2.2151991390925718e-05,0.0,-0.017416666666666747,-0.00012789351851849595,-0.016211226851851834,0.0,0.0,37.0,-259.0,-0.06557179089341625,29.04804013003013
10,descriptor_mismatch_nominal,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.0546947395592455,0.0343551700328921,0.9771998373425372,,,0.5104166666666666,0.8298611111111112,0.9201388888888888,0.9618055555555556,1.0,2885.0,3682.0,0.0,0.7550735046324043,0.9618055555555556,3.1965144005031165,0.8227047063406626,0.0085873625462274,,0.4766666666666667,0.7442543402777778,1.0,0.3551417824074074,,,113.23677357900306,0.0,0.0019906687327853,1.0,heteroscedastic_residuals;low_joint_pvs,nominal,archived_nominal,,,0.0546947395592455,0.0343551700328921,0.9618055555555556,0.4766666666666667,0.7442543402777778,0.3551417824074074,0.0,1.0,2885.0,3682.0,0.7550735046324043,113.23677357900306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,prior_narrow,PVS_aware_area_MCMC,reactive_area,288,3,4,8,3,0.054648260679573915,0.03439325310777,0.9772385714421774,,,0.5,0.8298611111111112,0.9131944444444444,0.9652777777777778,1.0,2577.0,4320.0,0.0,0.7662770113145069,0.9652777777777778,3.1347470226397647,0.8470175211315576,0.008925645907342296,,0.47941666666666666,0.7445923032407408,1.0,0.3574965277777778,,,144.08830481400946,0.0,0.002068344340055335,1.0,heteroscedastic_residuals;low_joint_pvs,narrow,new_targeted_fit,21272630.0,144.0883321762085,0.0546947395592455,0.0343551700328921,0.9618055555555556,0.4766666666666667,0.7442543402777778,0.3551417824074074,0.0,1.0,2885.0,3682.0,0.7550735046324043,113.23677357900306,-4.647887967158815e-05,3.8083074877896805e-05,0.00347222222222221,0.0027499999999999747,0.0003379629629629566,0.0023547453703703924,0.0,0.0,-308.0,638.0,0.01120350668210257,30.851531235006405
